Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-11,149,96,87,109,131,229,25,1119,0.671%,.62215,0.34,0.37
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-12,149,140,141,164,180,215,23,315,0.671%,.62192,31.17,0.31
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-13,149,37,25,81,97,145,20,179,0.000%,.62234,0.33,0.37
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-14,149,39,26,85,97,164,22,179,0.000%,.62233,0.33,0.37
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-15,149,37,28,80,86,114,22,176,0.000%,.62233,4.33,0.31
https://gibiru.com/results.html?q=cute+animal+videos&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-16,149,36,27,77,86,114,22,155,0.000%,.62238,2.54,0.32
"Threads: 25, Ramp-up: 25 - Search ""Cute Animal Videos""",25,400,381,475,498,569,334,569,4.000%,1.06724,117.94,10.02
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8,148,426,379,447,474,1933,324,2565,0.676%,.60307,10.31,6.15
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-0,148,209,208,224,228,269,192,286,0.000%,.60350,5.22,0.35
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-1,148,28,27,30,32,77,20,78,0.000%,.60393,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-2,148,29,28,31,33,86,21,110,0.000%,.60392,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-3,148,29,28,31,33,83,22,90,0.000%,.60392,0.32,0.37
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-4,148,28,27,30,31,95,22,108,0.000%,.60392,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-5,148,29,27,30,33,108,22,136,0.000%,.60393,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-6,148,28,26,31,33,106,21,110,0.000%,.60393,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-7,148,91,83,99,106,118,26,1131,0.000%,.60381,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-8,148,83,82,97,106,114,26,137,0.000%,.60381,0.32,0.37
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-9,148,86,83,99,111,140,66,206,0.000%,.60379,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-10,148,94,86,99,108,178,67,1134,0.000%,.60380,0.30,0.38
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-11,148,85,83,97,110,163,26,224,0.000%,.60381,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-12,148,92,83,97,107,170,25,1110,0.000%,.60378,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-13,148,33,24,78,90,113,20,147,0.000%,.60394,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-14,148,35,25,79,93,142,21,157,0.000%,.60393,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-15,148,34,25,80,88,104,21,130,0.000%,.60381,0.32,0.36
https://gibiru.com/results.html?q=funny+videos&rt=&cx=partner-pub-5956360965567042%3A8627692578&cof=FORID%3A11&ie=UTF-8-16,148,36,26,83,92,104,21,178,0.676%,.60395,0.33,0.36
"Threads: 25, Ramp-up: 25 - Search ""Funny Videos""",24,481,386,464,498,2565,331,2565,4.167%,.85482,14.71,8.70
"Threads: 50, Ramp-up: 50 - Load Page",50,661,571,735,880,3057,483,3057,0.000%,1.00861,3588.04,22.91
"Threads: 50, Ramp-up: 50 - Search ""Cute Animal Videos""",50,455,398,449,516,1358,343,1358,0.000%,1.01247,113.73,9.59
"Threads: 50, Ramp-up: 50 - Search ""Funny Videos""",50,436,375,439,461,1382,325,1382,0.000%,.75866,12.95,7.74
"Threads: 75, Ramp-up: 75 - Load Page",75,604,574,667,688,1459,502,1573,1.333%,1.00567,3550.28,22.84
"Threads: 75, Ramp-up: 75 - Search ""Cute Animal Videos""",74,465,389,470,531,1908,337,1915,0.000%,.99370,111.59,9.42
"Threads: 75, Ramp-up: 75 - Search ""Funny Videos""",74,401,379,447,465,501,324,1933,0.000%,.90907,15.53,9.28
TOTAL,12543,106,67,228,387,614,20,3326,0.096%,46.13432,6187.09,71.51
